question_id,grounding_biomedclip,grounding_biomedclip_processed
83,"[31.6377010345459, 30.78711700439453, 30.78711700439453, 30.78711700439453, 31.6377010345459, 30.78711700439453, 18.987674713134766, 30.78711700439453, 18.987674713134766, 30.78711700439453, 18.987674713134766, 18.987674713134766, 30.78711700439453, 30.78711700439453, 30.78711700439453, 30.78711700439453, 30.78711700439453, 30.78711700439453, 30.78711700439453, 30.78711700439453]","[31.6377010345459, 30.78711700439453, 30.78711700439453, 30.78711700439453, 31.6377010345459, 30.78711700439453, 18.987674713134766, 30.78711700439453, 18.987674713134766, 30.78711700439453, 18.987674713134766, 18.987674713134766, 30.78711700439453, 30.78711700439453, 30.78711700439453, 30.78711700439453, 30.78711700439453, 30.78711700439453, 30.78711700439453, 30.78711700439453]"
85,"[30.825672149658203, 28.059324264526367, 25.024311065673828, 29.727811813354492, 28.059324264526367, 29.727811813354492, 25.024311065673828, 24.070058822631836, 31.168174743652344, 25.024311065673828, 24.070058822631836, 25.024311065673828, 31.168174743652344, 30.825672149658203, 24.070058822631836, 30.825672149658203, 31.407880783081055, 26.88310432434082, 25.024311065673828, 26.88310432434082]","[30.825672149658203, 28.059324264526367, 25.024311065673828, 29.727811813354492, 28.059324264526367, 29.727811813354492, 25.024311065673828, 24.070058822631836, 31.168174743652344, 25.024311065673828, 24.070058822631836, 25.024311065673828, 31.168174743652344, 30.825672149658203, 24.070058822631836, 30.825672149658203, 31.407880783081055, 26.88310432434082, 25.024311065673828, 26.88310432434082]"
86,"[28.00493621826172, 31.168174743652344, 25.024311065673828, 24.070058822631836, 24.070058822631836, 24.070058822631836, 28.00493621826172, 25.024311065673828, 28.00493621826172, 28.00493621826172, 28.00493621826172, 28.00493621826172, 24.070058822631836, 28.00493621826172, 31.168174743652344, 28.00493621826172, 28.00493621826172, 25.024311065673828, 24.070058822631836, 28.00493621826172]","[28.00493621826172, 31.168174743652344, 25.024311065673828, 24.070058822631836, 24.070058822631836, 24.070058822631836, 28.00493621826172, 25.024311065673828, 28.00493621826172, 28.00493621826172, 28.00493621826172, 28.00493621826172, 24.070058822631836, 28.00493621826172, 31.168174743652344, 28.00493621826172, 28.00493621826172, 25.024311065673828, 24.070058822631836, 28.00493621826172]"
92,"[17.567001342773438, 32.025062561035156, 17.567001342773438, 32.025062561035156, 30.991064071655273, 32.025062561035156, 30.991064071655273, 32.025062561035156, 32.025062561035156, 30.6854305267334, 30.991064071655273, 30.991064071655273, 32.025062561035156, 17.567001342773438, 32.025062561035156, 30.991064071655273, 32.025062561035156, 17.567001342773438, 32.025062561035156, 30.6854305267334]","[17.567001342773438, 32.025062561035156, 17.567001342773438, 32.025062561035156, 30.991064071655273, 32.025062561035156, 30.991064071655273, 32.025062561035156, 32.025062561035156, 30.6854305267334, 30.991064071655273, 30.991064071655273, 32.025062561035156, 17.567001342773438, 32.025062561035156, 30.991064071655273, 32.025062561035156, 17.567001342773438, 32.025062561035156, 30.6854305267334]"
94,"[27.356069564819336, 27.356069564819336, 27.356069564819336, 27.356069564819336, 27.76187515258789, 27.356069564819336, 27.356069564819336, 27.356069564819336, 27.356069564819336, 27.356069564819336, 28.055599212646484, 27.356069564819336, 27.356069564819336, 27.356069564819336, 27.356069564819336, 27.76187515258789, 27.356069564819336, 27.356069564819336, 27.356069564819336, 28.452857971191406]","[27.356069564819336, 27.356069564819336, 27.356069564819336, 27.356069564819336, 27.76187515258789, 27.356069564819336, 27.356069564819336, 27.356069564819336, 27.356069564819336, 27.356069564819336, 28.055599212646484, 27.356069564819336, 27.356069564819336, 27.356069564819336, 27.356069564819336, 27.76187515258789, 27.356069564819336, 27.356069564819336, 27.356069564819336, 28.452857971191406]"
95,"[25.448291778564453, 28.220075607299805, 25.448291778564453, 28.452857971191406, 28.220075607299805, 28.220075607299805, 28.220075607299805, 25.448291778564453, 28.220075607299805, 28.220075607299805, 28.220075607299805, 28.220075607299805, 28.220075607299805, 28.220075607299805, 28.220075607299805, 28.452857971191406, 28.220075607299805, 25.448291778564453, 28.220075607299805, 28.220075607299805]","[25.448291778564453, 28.220075607299805, 25.448291778564453, 28.452857971191406, 28.220075607299805, 28.220075607299805, 28.220075607299805, 25.448291778564453, 28.220075607299805, 28.220075607299805, 28.220075607299805, 28.220075607299805, 28.220075607299805, 28.220075607299805, 28.220075607299805, 28.452857971191406, 28.220075607299805, 25.448291778564453, 28.220075607299805, 28.220075607299805]"
98,"[29.490013122558594, 32.992366790771484, 27.348905563354492, 32.50215148925781, 32.639991760253906, 32.992366790771484, 30.30416488647461, 35.87169647216797, 28.318126678466797, 32.639991760253906, 31.636478424072266, 27.768518447875977, 34.67284393310547, 30.583192825317383, 18.514896392822266, 32.992366790771484, 27.768518447875977, 31.84947967529297, 31.28942108154297, 27.768518447875977]","[29.490013122558594, 32.992366790771484, 27.348905563354492, 32.50215148925781, 32.639991760253906, 32.992366790771484, 30.30416488647461, 35.87169647216797, 28.318126678466797, 32.639991760253906, 31.636478424072266, 27.768518447875977, 34.67284393310547, 30.583192825317383, 18.514896392822266, 32.992366790771484, 27.768518447875977, 31.84947967529297, 31.28942108154297, 27.768518447875977]"
102,"[12.031761169433594, 30.278791427612305, 12.031761169433594, 12.031761169433594, 12.031761169433594, 12.031761169433594, 12.031761169433594, 12.031761169433594, 12.031761169433594, 30.278791427612305, 12.031761169433594, 12.031761169433594, 12.031761169433594, 12.031761169433594, 12.031761169433594, 12.031761169433594, 12.031761169433594, 12.031761169433594, 30.278791427612305, 12.031761169433594]","[12.031761169433594, 30.278791427612305, 12.031761169433594, 12.031761169433594, 12.031761169433594, 12.031761169433594, 12.031761169433594, 12.031761169433594, 12.031761169433594, 30.278791427612305, 12.031761169433594, 12.031761169433594, 12.031761169433594, 12.031761169433594, 12.031761169433594, 12.031761169433594, 12.031761169433594, 12.031761169433594, 30.278791427612305, 12.031761169433594]"
104,"[25.71771240234375, 23.433574676513672, 23.695438385009766, 25.71771240234375, 23.433574676513672, 23.433574676513672, 21.085182189941406, 26.760616302490234, 16.32695770263672, 26.760616302490234, 19.84756851196289, 21.65463638305664, 26.760616302490234, 16.32695770263672, 21.085182189941406, 23.433574676513672, 23.433574676513672, 21.04503631591797, 27.94249153137207, 23.433574676513672]","[25.71771240234375, 23.433574676513672, 23.695438385009766, 25.71771240234375, 23.433574676513672, 23.433574676513672, 21.085182189941406, 26.760616302490234, 16.32695770263672, 26.760616302490234, 19.84756851196289, 21.65463638305664, 26.760616302490234, 16.32695770263672, 21.085182189941406, 23.433574676513672, 23.433574676513672, 21.04503631591797, 27.94249153137207, 23.433574676513672]"
105,"[18.555530548095703, 17.33732795715332, 17.33732795715332, 18.555530548095703, 18.555530548095703, 18.555530548095703, 18.555530548095703, 18.555530548095703, 18.555530548095703, 18.555530548095703, 18.555530548095703, 18.555530548095703, 18.555530548095703, 18.555530548095703, 17.33732795715332, 18.555530548095703, 18.555530548095703, 18.555530548095703, 17.33732795715332, 18.555530548095703]","[18.555530548095703, 17.33732795715332, 17.33732795715332, 18.555530548095703, 18.555530548095703, 18.555530548095703, 18.555530548095703, 18.555530548095703, 18.555530548095703, 18.555530548095703, 18.555530548095703, 18.555530548095703, 18.555530548095703, 18.555530548095703, 17.33732795715332, 18.555530548095703, 18.555530548095703, 18.555530548095703, 17.33732795715332, 18.555530548095703]"
